"","Name","Age","Height","Gender","Category","Country","Continent","Hand","Medals","HRank","Multiple","Career"
"1","Aaron Chia",24,169,"M","MD","Malaysia","Asia","Right",1,8,"0",129
"2","Adam Hall",25,186,"M","MD","Scotland","Europe","Right",0,36,"1",243
"3","Ade Yusuf Santoso",28,180,"M","MD","Indonesia","Asia","Right",1,16,"0",125
"5","Akane Yamaguchi",23,156,"F","WS","Japan","Asia","Right",11,1,"0",321
"6","Akira Koga",27,166,"M","MD","Japan","Asia","Right",1,28,"1",890
"7","Alexander Dunn",22,179,"M","MD","Scotland","Europe","Right",0,38,"1",174
"8","Alexandra Boje",21,173,"F","XD","Denmark","Europe","Right",3,17,"1",210
"9","Alina Davletova",22,163,"F","XD","Russia","Europe","Right",1,19,"1",373
"10","Amalie Magelund",20,166,"F","XD","Denmark","Europe","Right",2,31,"1",171
"11","An Se-young",19,170,"F","WS","Korea","Asia","Right",1,8,"0",146
"12","Anders Antonsen",23,183,"M","MS","Denmark","Europe","Right",8,3,"0",219
"13","Anders Skaarup Rasmussen",32,189,"M","MD","Denmark","Europe","Right",8,5,"1",349
"14","Anne Tran",24,166,"F","WD","France","Europe","Right",0,18,"1",327
"15","Anthony Sinisuka Ginting",24,171,"M","MS","Indonesia","Asia","Right",5,3,"0",192
"16","Apriyani Rahayu",22,163,"F","WD","Indonesia","Asia","Right",1,3,"1",227
"17","Arisa Higashino",24,160,"F","XD","Japan","Asia","Right",2,3,"1",155
"18","Ashwini Ponnappa",31,164,"F","XD","India","Asia","Right",6,10,"1",276
"19","Aya Ohori",24,169,"F","WS","Japan","Asia","Left",5,13,"0",180
"20","Ayaka Takahashi",31,164,"F","WD","Japan","Asia","Right",7,1,"0",471
"21","Ayako Sakuramoto",125,166,"F","WD","Japan","Asia","Left",1,9,"0",128
"22","Baek Ha-na",20,164,"F","WD","Korea","Asia","Right",3,10,"1",154
"24","Ben Lane",23,175,"M","MD","England","Europe","Left",0,18,"1",283
"25","Bodin Isara",30,177,"M","MD","Thailand","Asia","Left",1,7,"1",253
"26","Brian Yang",19,180,"M","MS","Canada","Pan Am","Right",12,49,"0",202
"27","Brice Leverdez",35,178,"M","MS","France","Europe","Right",1,19,"1",405
"28","Brittney Tam",23,167,"F","WS","Canada","Pan Am","Right",9,43,"1",129
"29","Busanan Ongbamrungphan",25,168,"F","WS","Thailand","Asia","Right",4,11,"0",257
"30","Cai Yan Yan",21,171,"F","WS","China","Asia","Right",4,14,"0",75
"31","Carolina Marin",27,172,"F","WS","Spain","Europe","Left",9,1,"0",423
"32","Carsten Mogensen",37,185,"M","MD","Denmark","Europe","Right",13,1,"0",550
"33","Chae Yu-jung",25,163,"F","XD","Korea","Asia","Left",5,5,"1",354
"34","Chan Peng Soon",32,170,"M","XD","Malaysia","Asia","Right",3,3,"0",453
"36","Chang Ye-na",31,172,"F","WD","Korea","Asia","Left",5,2,"1",504
"37","Chayanit Chaladchalam",30,163,"F","WD","Thailand","Asia","Left",1,14,"0",151
"39","Chen Long",32,187,"M","MS","China","Asia","Right",19,1,"0",441
"40","Chen QingChen",23,164,"F","WD","China","Asia","Right",20,1,"1",470
"41","Chen Xiao Xin",23,170,"F","WS","China","Asia","Right",2,16,"0",78
"42","Chen YuFei",23,171,"F","WS","China","Asia","Right",11,1,"0",233
"43","Cheng Chi Ya",28,165,"F","XD","Taiwan","Asia","Right",0,22,"1",165
"44","Cheryl Seinen",25,166,"F","WD","Netherlands","Europe","Right",1,18,"1",289
"45","Cheung Ngan Yi",68,168,"F","WS","Hong Kong China","Asia","Right",0,13,"0",143
"46","Chiharu Shida",24,162,"F","WD","Japan","Asia","Right",1,9,"1",160
"47","Chloe Birch",25,168,"F","WD","England","Europe","Right",0,14,"1",273
"48","Chloe Magee",33,165,"F","XD","Ireland","Europe","Right",0,21,"1",449
"49","Choi Sol-gyu",25,181,"M","MD","Korea","Asia","Right",4,7,"1",355
"50","Chou Tien Chen",31,180,"M","MS","Taiwan","Asia","Right",0,2,"0",405
