Name,Age,Height,Gender,Category,Country,Continent,Hand,Medals,HRank,Multiple,Career
Aaron Chia,24,169,M,MD,Malaysia,Asia,Right,1,8,0,129
Adam Hall,25,186,M,MD,Scotland,Europe,Right,0,36,1,243
Ade Yusuf Santoso,28,180,M,MD,Indonesia,Asia,Right,1,16,0,125
Adnan Maulana,21,NA,M,XD,Indonesia,Asia,Right,0,32,1,54
Akane Yamaguchi,23,156,F,WS,Japan,Asia,Right,11,1,0,321
Akira Koga,27,166,M,MD,Japan,Asia,Right,1,28,1,890
Alexander Dunn,22,179,M,MD,Scotland,Europe,Right,0,38,1,174
Alexandra Boje,21,173,F,XD,Denmark,Europe,Right,3,17,1,210
Alina Davletova,22,163,F,XD,Russia,Europe,Right,1,19,1,373
Amalie Magelund,20,166,F,XD,Denmark,Europe,Right,2,31,1,171
An Se-young,19,170,F,WS,Korea,Asia,Right,1,8,0,146
Anders Antonsen,23,183,M,MS,Denmark,Europe,Right,8,3,0,219
Anders Skaarup Rasmussen,32,189,M,MD,Denmark,Europe,Right,8,5,1,349
Anne Tran,24,166,F,WD,France,Europe,Right,0,18,1,327
Anthony Sinisuka Ginting,24,171,M,MS,Indonesia,Asia,Right,5,3,0,192
Apriyani Rahayu,22,163,F,WD,Indonesia,Asia,Right,1,3,1,227
Arisa Higashino,24,160,F,XD,Japan,Asia,Right,2,3,1,155
Ashwini Ponnappa,31,164,F,XD,India,Asia,Right,6,10,1,276
Aya Ohori,24,169,F,WS,Japan,Asia,Left,5,13,0,180
Ayaka Takahashi,31,164,F,WD,Japan,Asia,Right,7,1,0,471
Ayako Sakuramoto,125,166,F,WD,Japan,Asia,Left,1,9,0,128
Baek Ha-na,20,164,F,WD,Korea,Asia,Right,3,10,1,154
Bagas Maulana,22,NA,M,MD,Indonesia,Asia,Right,0,41,0,73
Ben Lane,23,175,M,MD,England,Europe,Left,0,18,1,283
Bodin Isara,30,177,M,MD,Thailand,Asia,Left,1,7,1,253
Brian Yang,19,180,M,MS,Canada,Pan Am,Right,12,49,0,202
Brice Leverdez,35,178,M,MS,France,Europe,Right,1,19,1,405
Brittney Tam,23,167,F,WS,Canada,Pan Am,Right,9,43,1,129
Busanan Ongbamrungphan,25,168,F,WS,Thailand,Asia,Right,4,11,0,257
Cai Yan Yan,21,171,F,WS,China,Asia,Right,4,14,0,75
Carolina Marin,27,172,F,WS,Spain,Europe,Left,9,1,0,423
Carsten Mogensen,37,185,M,MD,Denmark,Europe,Right,13,1,0,550
Chae Yu-jung,25,163,F,XD,Korea,Asia,Left,5,5,1,354
Chan Peng Soon,32,170,M,XD,Malaysia,Asia,Right,3,3,0,453
Chang Tak Ching,26,188,M,XD,Hong Kong China,Asia,Right,NA,32,1,97
Chang Ye-na,31,172,F,WD,Korea,Asia,Left,5,2,1,504
Chayanit Chaladchalam,30,163,F,WD,Thailand,Asia,Left,1,14,0,151
Cheah Yee See,25,NA,F,XD,Malaysia,Asia,Right,0,17,1,1124
Chen Long,32,187,M,MS,China,Asia,Right,19,1,0,441
Chen QingChen,23,164,F,WD,China,Asia,Right,20,1,1,470
Chen Xiao Xin,23,170,F,WS,China,Asia,Right,2,16,0,78
Chen YuFei,23,171,F,WS,China,Asia,Right,11,1,0,233
Cheng Chi Ya,28,165,F,XD,Taiwan,Asia,Right,0,22,1,165
Cheryl Seinen,25,166,F,WD,Netherlands,Europe,Right,1,18,1,289
Cheung Ngan Yi,68,168,F,WS,Hong Kong China,Asia,Right,0,13,0,143
Chiharu Shida,24,162,F,WD,Japan,Asia,Right,1,9,1,160
Chloe Birch,25,168,F,WD,England,Europe,Right,0,14,1,273
Chloe Magee,33,165,F,XD,Ireland,Europe,Right,0,21,1,449
Choi Sol-gyu,25,181,M,MD,Korea,Asia,Right,4,7,1,355
Chou Tien Chen,31,180,M,MS,Taiwan,Asia,Right,0,2,0,405
Chow Mei Kuan,26,161,F,WD,Malaysia,Asia,Right,2,10,1,210
Chris Adcock,31,183,M,XD,England,Europe,Left,6,4,1,468
Chris Langridge,35,176,M,MD,England,Europe,Right,2,12,1,485
Christina Pedersen,34,178,F,XD,Denmark,Europe,Right,16,1,1,708
Christo Popov,19,179,M,MD,France,Europe,Left,3,39,1,239
Daniel Marthin,19,182,M,MD,Indonesia,Asia,Right,3,42,1,143
Debby Susanto,31,161,F,XD,Indonesia,Asia,Right,3,2,0,255
Dechapol Puavaranukroh,23,169,M,XD,Thailand,Asia,Right,3,2,1,314
Della Destiara Haris,28,170,F,WD,Indonesia,Asia,Right,0,9,0,207
Delphine Delrue,22,170,F,XD,France,Europe,Right,2,10,1,276
